Tour,Tournament_Year,Tournament_Order,Permanent_Tournament_Number,Course_Number,Player_Number,Player_Name,Round_Number,Event_Name,Course_Name,Interview_Text,Number_Of_Answers,Link,Response_Negative,Response_Positive,Response_Sentiment,Round_Score,End_of_Round_Pos_numeric_,Total_Holes_Over_Par,Birdies,Birdies_Rank,Bogey_Avoidance_Rank,Driving_Distance_Rank,Driving_Accuracy_Rank,GIR_Rank,Scrambling_Rank,Distance_to_leader_strokes,Distance_to_leader_ranks,Ranks_gained,Strokes_gained_v_a_v_Leader,Distance_to_runner_up_strokes_,Strokes_gained_v_a_v_Runner_up,Minor_Injury,Major_injury_surgery,Personal_issues,Major,Prize_Money,SoF,OWGR,fullart_bing_positive,fullart_bing_negative,fullart_bing_sentiment,fullart_afinn_positive,fullart_afinn_negative,fullart_afinn_sentiment,fullart_nrc_positive,fullart_nrc_negative,fullart_nrc_sentiment,resp_bing_positive,resp_bing_negative,resp_bing_sentiment,resp_afinn_positive,resp_afinn_negative,resp_afinn_sentiment,resp_nrc_positive,resp_nrc_negative,resp_nrc_sentiment,quest_bing_positive,quest_bing_negative,quest_bing_sentiment,quest_afinn_positive,quest_afinn_negative,quest_afinn_sentiment,quest_nrc_positive,quest_nrc_negative,quest_nrc_sentiment,sentimentr_fullart,sentimentr_resp,sentimentr_quest
R,1996,150,14,14,8793,"Woods, Tiger",1,Masters Tournament,Augusta National GC,NA,16,http://www.asapsports.com/show_interview.php?id=16216,2,9,7,75,57,7,4,18,78,1,1,50,69,12,56,NA,NA,NA,NA,0,0,0,1,2347895,694,612,25,23,2,55,22,33,28,30,-2,9,2,7,14,5,9,7,6,1,16,21,-5,41,17,24,21,24,-3,-0.04024491630203651,0.09630804855184794,-0.13655296485388446
R,1996,150,14,14,8793,"Woods, Tiger",2,Masters Tournament,Augusta National GC,NA,20,http://www.asapsports.com/show_interview.php?id=16213,5,11,6,75,60,5,2,55,47,1,15,35,75,18,59,3,6,NA,NA,0,0,0,1,2347895,694,612,59,21,38,119,32,87,52,54,-2,11,5,6,27,7,20,16,3,13,48,16,32,92,25,67,36,51,-15,0.12064475516956612,0.12927255812799335,-0.00862780295842723
R,1996,240,26,628,8793,"Woods, Tiger",1,U.S. Open Championship,Oakland Hills CC,NA,NA,NA,NA,NA,NA,76,115,5,3,26,61,1,39,53,NA,9,114,NA,NA,NA,NA,0,0,0,1,2542705.000000003,664,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,240,26,628,8793,"Woods, Tiger",2,U.S. Open Championship,Oakland Hills CC,NA,NA,NA,NA,NA,NA,69,56,4,5,5,44,2,1,2,NA,7,55,-59,-2,NA,NA,0,0,0,1,2542705.000000003,664,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,240,26,628,8793,"Woods, Tiger",3,U.S. Open Championship,Oakland Hills CC,NA,NA,NA,NA,NA,NA,77,95,7,1,85,86,1,6,108,NA,14,94,39,7,NA,NA,0,0,0,1,2542705.000000003,664,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,240,26,628,8793,"Woods, Tiger",4,U.S. Open Championship,Oakland Hills CC,NA,NA,NA,NA,NA,NA,72,82,5,3,18,54,8,68,81,NA,16,81,-13,2,NA,NA,0,0,0,1,2542705.000000003,664,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,370,29,612,8793,"Woods, Tiger",1,Greater Milwaukee Open,BROWN DEER PARK GC,NA,NA,NA,NA,NA,NA,67,14,1,3,83,11,1,41,4,90,5,13,NA,NA,NA,NA,0,0,0,0,1213896,171,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,370,29,612,8793,"Woods, Tiger",2,Greater Milwaukee Open,BROWN DEER PARK GC,NA,NA,NA,NA,NA,NA,69,30,2,4,57,47,1,31,85,24,8,29,16,3,NA,NA,0,0,0,0,1213896,171,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,370,29,612,8793,"Woods, Tiger",3,Greater Milwaukee Open,BROWN DEER PARK GC,NA,NA,NA,NA,NA,NA,73,70,4,3,59,68,1,54,74,50,15,69,40,7,NA,NA,0,0,0,0,1213896,171,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,370,29,612,8793,"Woods, Tiger",4,Greater Milwaukee Open,BROWN DEER PARK GC,NA,NA,NA,NA,NA,NA,68,60,2,1,73,31,1,37,35,39,12,59,-10,-3,NA,NA,0,0,0,0,1213896,171,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,390,30,30,8793,"Woods, Tiger",1,Quad City Classic,Oakwood CC,NA,NA,NA,NA,NA,NA,69,28,2,3,28,18,2,6,7,30,4,27,NA,NA,NA,NA,0,0,0,0,1209360.0000000005,121,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,390,30,30,8793,"Woods, Tiger",2,Quad City Classic,Oakwood CC,NA,NA,NA,NA,NA,NA,64,1,3,9,1,42,3,106,60,45,0,0,-27,-4,1,NA,0,0,0,0,1209360.0000000005,121,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,390,30,30,8793,"Woods, Tiger",3,Quad City Classic,Oakwood CC,NA,NA,NA,NA,NA,NA,67,1,2,5,5,19,1,37,16,1,0,0,0,0,1,0,0,0,0,0,1209360.0000000005,121,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,390,30,30,8793,"Woods, Tiger",4,Quad City Classic,Oakwood CC,NA,NA,NA,NA,NA,NA,72,5,4,6,6,61,1,34,1,55,4,4,4,4,NA,NA,0,0,0,0,1209360.0000000005,121,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,380,32,32,8793,"Woods, Tiger",1,Bell Canadian Open,Glen Abbey GC,NA,NA,NA,NA,NA,NA,70,33,3,4,37,67,3,139,89,75,6,32,NA,NA,NA,NA,0,0,0,0,1520160,338,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,380,32,32,8793,"Woods, Tiger",2,Bell Canadian Open,Glen Abbey GC,NA,NA,NA,NA,NA,NA,70,25,3,5,17,43,1,126,6,80,11,24,-8,5,NA,NA,0,0,0,0,1520160,338,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,380,32,32,8793,"Woods, Tiger",3,Bell Canadian Open,Glen Abbey GC,NA,NA,NA,NA,NA,NA,68,11,3,7,1,19,1,5,3,72,6,10,-14,-5,NA,NA,0,0,0,0,1520160,338,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,410,37,37,8793,"Woods, Tiger",1,B.C. Open,En-Joie GC,NA,NA,NA,NA,NA,NA,68,8,1,4,11,6,50,55,19,1,2,7,NA,NA,NA,NA,0,0,0,0,999999.9999999998,133,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
