year;Permanent_Tournament_Number;Round_Number;fullart_bing_positive;fullart_bing_negative;fullart_bing_sentiment;fullart_afinn_positive;fullart_afinn_negative;fullart_afinn_sentiment;fullart_nrc_positive;fullart_nrc_negative;fullart_nrc_sentiment;resp_bing_positive;resp_bing_negative;resp_bing_sentiment;resp_afinn_positive;resp_afinn_negative;resp_afinn_sentiment;resp_nrc_positive;resp_nrc_negative;resp_nrc_sentiment;quest_bing_positive;quest_bing_negative;quest_bing_sentiment;quest_afinn_positive;quest_afinn_negative;quest_afinn_sentiment;quest_nrc_positive;quest_nrc_negative;quest_nrc_sentiment;sentimentr_fullart;sentimentr_resp;sentimentr_quest;Link;Tour;Tournament_Order;Course_Number;Player_Number;Player_Name;Event_Name;Course_Name;Interview_Text;Response_Negative;Response_Positive;Response_Sentiment;Round_Score;End_of_Round_Pos_numeric_;Total_Holes_Over_Par;Birdies;Birdies_Rank;Bogey_Avoidance_Rank;Driving_Distance_Rank;Driving_Accuracy_Rank;GIR_Rank;Scrambling_Rank;Distance_to_leader_strokes;Distance_to_leader_ranks;Ranks_gained;Strokes_gained_v_a_v_Leader;Distance_to_runner_up_strokes_;Strokes_gained_v_a_v_Runner_up;Minor_Injury;Major_injury_surgery;Personal_issues;Major;Prize_Money;SoF;OWGR;Number_Of_Answers
1996;14;0;76;23;53;148;23;125;58;49;9;6;4;2;13;3;10;2;3;-1;70;19;51;135;20;115;56;46;10;0.143237806;0.071128686;0.07210912;http://www.asapsports.com/show_interview.php?id=16219;R;150;14;8793;Woods, Tiger;Masters Tournament;Augusta National GC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19
1996;14;1;25;23;2;55;22;33;28;30;-2;9;2;7;14;5;9;7;6;1;16;21;-5;41;17;24;21;24;-3;-0.040244916;0.096308049;-0.136552965;http://www.asapsports.com/show_interview.php?id=16216;R;150;14;8793;Woods, Tiger;Masters Tournament;Augusta National GC;NA;2;9;7;75;57;7;4;18;78;1;1;50;69;12;56;NA;NA;NA;NA;0;0;0;1;2347895;694;612;16
1996;14;2;59;21;38;119;32;87;52;54;-2;11;5;6;27;7;20;16;3;13;48;16;32;92;25;67;36;51;-15;0.120644755;0.129272558;-0.008627803;http://www.asapsports.com/show_interview.php?id=16213;R;150;14;8793;Woods, Tiger;Masters Tournament;Augusta National GC;NA;5;11;6;75;60;5;2;55;47;1;15;35;75;18;59;3;6;NA;NA;0;0;0;1;2347895;694;612;20
1996;60;0;149;54;95;333;32;301;128;70;58;35;6;29;80;5;75;27;7;20;114;48;66;253;27;226;101;63;38;0.139640476;0.231951353;-0.092310877;http://www.asapsports.com/show_interview.php?id=32987;R;460;611;8793;Woods, Tiger;THE TOUR Championship;Southern Hills CC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;70
1996;60;1;3;3;0;11;4;7;2;2;0;2;1;1;7;2;5;2;1;1;1;2;-1;4;2;2;0;1;-1;0.019619477;0.122779424;-0.103159947;http://www.asapsports.com/show_interview.php?id=33235;R;460;611;8793;Woods, Tiger;THE TOUR Championship;Southern Hills CC;NA;1;2;1;70;8;3;3;8;6;1;1;3;10;4;7;NA;NA;NA;NA;0;0;0;0;2903400;415;37;2
1996;60;2;9;0;9;29;0;29;8;4;4;4;0;4;10;0;10;3;1;2;5;0;5;19;0;19;5;3;2;0.100552718;0.263617632;-0.163064914;http://www.asapsports.com/show_interview.php?id=33236;R;460;611;8793;Woods, Tiger;THE TOUR Championship;Southern Hills CC;NA;0;4;4;78;25;9;2;17;29;7;16;10;29;15;24;17;11;NA;NA;0;0;0;0;2903400;415;37;4
1996;60;4;28;11;17;38;9;29;15;10;5;9;0;9;13;0;13;6;2;4;19;11;8;25;9;16;9;8;1;0.176578689;0.234985961;-0.058407272;http://www.asapsports.com/show_interview.php?id=33237;R;460;611;8793;Woods, Tiger;THE TOUR Championship;Southern Hills CC;NA;0;9;9;68;21;1;5;3;1;2;19;21;2;20;20;-3;-3;NA;NA;0;0;0;0;2903400;415;37;9
1997;11;0;203;48;155;401;83;318;216;71;145;40;6;34;82;13;69;40;11;29;163;42;121;319;70;249;176;60;116;0.188095668;0.227849651;-0.039753983;http://www.asapsports.com/show_interview.php?id=16152;R;130;NA;8793;Woods, Tiger;THE PLAYERS Championship;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;64
1997;23;0;217;76;141;478;124;354;220;88;132;53;9;44;111;14;97;53;21;32;164;67;97;367;110;257;167;67;100;0.1216936;0.172074679;-0.050381079;http://www.asapsports.com/show_interview.php?id=16147;R;220;NA;8793;Woods, Tiger;Memorial Tournament;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;87
1997;26;0;289;90;199;619;136;483;272;122;150;46;11;35;97;19;78;32;20;12;243;79;164;522;117;405;240;102;138;0.142742612;0.184022978;-0.041280366;http://www.asapsports.com/show_interview.php?id=16138;R;240;639;8793;Woods, Tiger;U.S. Open Championship;Congressional CC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;65
